,dangerLevel,elevation_th,HN72_24,HN24_7d,Pen_depth,HN24,min_ccl_pen,RH,wind_trans24_3d,wind_trans24,wind_trans24_7d,warnreg
128285,1.0,1000.0,0.0,0.0,7.761351950608653,0.0,3.0,83.5375,0.0,0.0,0.0,16.0
128286,1.0,1000.0,1.2415,4.39,7.803533165620168,0.0,2.29,98.55,0.0,0.0,0.0,16.0
128288,1.0,1000.0,0.0,0.0,7.8815443377426915,0.0,3.0,80.82499999999997,0.0,0.0,0.0,16.0
128290,1.0,1000.0,0.0,0.0,8.041037747983273,0.0,2.89,58.76250000000001,0.0,0.0,0.0,16.0
128296,1.0,1000.0,0.0,2.47,9.195662157153304,0.0,1.81,64.72500000000001,0.0,0.0,0.0,16.0
128297,1.0,1000.0,0.0,0.0,8.07605293242137,0.0,2.35,78.725,0.0,0.0,0.0,16.0
128302,1.0,1000.0,2.3277500000000004,2.33,7.815496434241921,0.0,2.19,75.6875,0.0,0.0,0.0,16.0
128304,1.0,1000.0,2.009875,2.01,8.340161468326013,2.009875,2.4,81.025,0.0,0.0,0.0,16.0
128308,1.0,1000.0,2.57375,15.91,7.775261544842841,0.0,3.0,76.225,0.21,0.00175,0.21,16.0
128309,1.0,1000.0,0.0,0.0,7.975487812765117,0.0,2.24,79.9,0.0,0.0,0.0,16.0
128310,1.0,1000.0,2.276625,2.28,8.78826513958632,0.2705,2.52,74.85,4.26,2.82125,4.26,16.0
128317,1.0,1000.0,0.0,0.0,7.537257960429122,0.0,3.0,72.325,0.0,0.0,0.0,16.0
128318,1.0,1000.0,0.0,0.0,7.713650890910034,0.0,3.0,77.89999999999998,0.0,0.0,0.0,16.0
128320,1.0,1000.0,3.77525,3.78,7.826917261260108,0.46375,3.0,87.1375,0.85,0.317625,0.85,16.0
128323,1.0,1000.0,0.0,0.0,8.269043761642934,0.0,2.61,85.825,0.0,0.0,0.0,16.0
128325,1.0,1000.0,4.73475,4.73,8.519245751985206,1.196125,1.67,80.5625,1.74,0.0,1.74,16.0
128332,1.0,1000.0,0.0,0.0,7.959434083755138,0.0,2.4,71.7375,0.0,0.0,0.0,16.0
128333,1.0,1000.0,0.0,2.47,8.936353127750857,0.0,1.89,94.7375,0.0,0.0,0.0,16.0
128336,1.0,1000.0,0.27275,2.33,7.7340843909196675,0.0,2.21,78.47500000000002,0.0,0.0,0.0,16.0
128337,1.0,1000.0,4.538875,4.54,8.375681379261371,0.549625,3.0,86.3375,3.51,1.0593750000000002,3.51,16.0
128343,1.0,1000.0,4.5075,4.51,9.175798061222094,0.77225,0.7,92.4625,0.0,0.0,0.0,16.0
128344,1.0,1000.0,0.0,0.0,11.188742614999365,0.0,0.65,81.27499999999998,0.0,0.0,0.0,16.0
128347,1.0,1000.0,0.0,2.96,7.633709783310324,0.0,3.0,73.208375,0.0,0.0,0.0,16.0
128349,1.0,1000.0,0.0,0.0,7.325711752056347,0.0,3.0,81.1125,0.0,0.0,0.0,16.0
128350,1.0,1000.0,0.0,3.04,7.881854978432008,0.0,2.64,84.275,0.0,0.0,0.0,16.0
128352,1.0,1000.0,0.267,0.27,7.748967096593825,0.267,2.94,89.22500000000002,0.0,0.0,0.0,16.0
128354,1.0,1000.0,0.0,4.39,7.668362996556482,0.0,2.32,94.65,0.0,0.0,0.0,16.0
128356,1.0,1000.0,0.0,0.0,7.523933640167823,0.0,3.0,79.4625,0.0,0.0,0.0,16.0
128358,1.0,1000.0,1.4113749999999998,2.33,7.113863821678466,0.0,2.8,85.6125,0.0,0.0,0.0,16.0
128364,1.0,1000.0,2.473625,2.47,8.637441880954244,0.30575,1.24,83.225,0.0,0.0,0.0,16.0
128372,1.0,1000.0,1.652375,3.98,8.102303258509995,1.652375,1.74,91.6,0.0,0.0,0.0,16.0
128375,1.0,1000.0,3.539375,5.26,8.613134166710482,3.539375,2.45,90.16250000000002,0.36,0.36025,0.36,16.0
128377,1.0,1000.0,0.0,0.0,11.17745382080042,0.0,0.65,87.97499999999998,0.0,0.0,0.0,16.0
128380,1.0,1000.0,4.914624999999999,5.22,10.065941092598312,4.914624999999999,0.89,95.9875,0.0,0.0,0.0,16.0
128381,1.0,1000.0,0.344875,2.68,7.041398732172383,0.344875,2.84,95.9625,0.0,0.0,0.0,16.0
128385,1.0,1000.0,2.473625,2.47,8.40663518071558,0.0,1.32,87.875,0.0,0.0,0.0,16.0
128387,1.0,1000.0,7.419749999999999,7.42,9.606925038954056,2.91225,0.52,94.8,0.0,0.0,0.0,16.0
